policy_id,title,sector,region,year,target_group,status,funding_million_usd,stakeholders,impact_score,summary,goals,full_text,text_for_nlp
P1138,State Secondary Education Reform 32,Higher Education,Rajasthan,2019,Teachers,Under Review,76.39,"Central Government, Donors",0.382,This policy aims to improve teacher quality in Higher Education through scholarship schemes in Rajasthan.,Increase reach by 22% in 3 years.,This policy aims to improve teacher quality in Higher Education through scholarship schemes in Rajasthan. Goals: Increase reach by 22% in 3 years.,"state secondary education reform 32. this policy aims to improve teacher quality in higher education through scholarship schemes in rajasthan. goals: increase reach by 22% in 3 years.. stakeholders: central government, donors"
P1424,State Vocational Education Reform 89,Higher Education,Delhi,2017,All,Proposed,82.17,"Central Government, Donors",0.446,This policy aims to improve learning outcomes in Higher Education through digital device distribution in Delhi.,Increase reach by 21% in 2 years.,This policy aims to improve learning outcomes in Higher Education through digital device distribution in Delhi. Goals: Increase reach by 21% in 2 years.,"state vocational education reform 89. this policy aims to improve learning outcomes in higher education through digital device distribution in delhi. goals: increase reach by 21% in 2 years.. stakeholders: central government, donors"
P1336,National Early Childhood Education Reform 23,Early Childhood,Punjab,2022,Disadvantaged Groups,Pilot,92.71,"Central Government, Donors",0.58,This policy aims to improve learning outcomes in Early Childhood through curriculum reform in Punjab.,Increase reach by 24% in 3 years.,This policy aims to improve learning outcomes in Early Childhood through curriculum reform in Punjab. Goals: Increase reach by 24% in 3 years.,"national early childhood education reform 23. this policy aims to improve learning outcomes in early childhood through curriculum reform in punjab. goals: increase reach by 24% in 3 years.. stakeholders: central government, donors"
P1026,District Secondary Education Reform 35,Secondary,Maharashtra,2021,All,Proposed,0.19,"Central Government, Donors",0.411,This policy aims to improve infrastructure in Secondary through teacher training programs in Maharashtra.,Increase reach by 6% in 2 years.,This policy aims to improve infrastructure in Secondary through teacher training programs in Maharashtra. Goals: Increase reach by 6% in 2 years.,"district secondary education reform 35. this policy aims to improve infrastructure in secondary through teacher training programs in maharashtra. goals: increase reach by 6% in 2 years.. stakeholders: central government, donors"
P1465,District Vocational Education Reform 29,Primary,Karnataka,2017,Rural Students,Under Review,0.15,"Teachers' Unions, Community Leaders",0.471,This policy aims to improve digital access in Primary through public-private partnerships in Karnataka.,Increase reach by 20% in 1 years.,This policy aims to improve digital access in Primary through public-private partnerships in Karnataka. Goals: Increase reach by 20% in 1 years.,"district vocational education reform 29. this policy aims to improve digital access in primary through public-private partnerships in karnataka. goals: increase reach by 20% in 1 years.. stakeholders: teachers' unions, community leaders"
P1282,District Higher Education Education Reform 71,Primary,Karnataka,2019,Teachers,Pilot,18.67,"Teachers' Unions, Community Leaders",0.772,This policy aims to improve early childhood development in Primary through public-private partnerships in Karnataka.,Increase reach by 17% in 2 years.,This policy aims to improve early childhood development in Primary through public-private partnerships in Karnataka. Goals: Increase reach by 17% in 2 years.,"district higher education education reform 71. this policy aims to improve early childhood development in primary through public-private partnerships in karnataka. goals: increase reach by 17% in 2 years.. stakeholders: teachers' unions, community leaders"
P1248,State Primary Education Reform 21,Early Childhood,Uttar Pradesh,2018,Disadvantaged Groups,Implemented,9.04,"Central Government, Donors",0.557,This policy aims to improve vocational skills in Early Childhood through grants to schools in Uttar Pradesh.,Increase reach by 35% in 2 years.,This policy aims to improve vocational skills in Early Childhood through grants to schools in Uttar Pradesh. Goals: Increase reach by 35% in 2 years.,"state primary education reform 21. this policy aims to improve vocational skills in early childhood through grants to schools in uttar pradesh. goals: increase reach by 35% in 2 years.. stakeholders: central government, donors"
P1238,District Primary Education Reform 11,Higher Education,Rajasthan,2021,All,Implemented,4.28,"EdTech Companies, Universities",0.473,This policy aims to improve early childhood development in Higher Education through public-private partnerships in Rajasthan.,Increase reach by 35% in 5 years.,This policy aims to improve early childhood development in Higher Education through public-private partnerships in Rajasthan. Goals: Increase reach by 35% in 5 years.,"district primary education reform 11. this policy aims to improve early childhood development in higher education through public-private partnerships in rajasthan. goals: increase reach by 35% in 5 years.. stakeholders: edtech companies, universities"
P1118,National Early Childhood Education Reform 20,Vocational,Kerala,2020,Urban Students,Proposed,12.94,"Central Government, Donors",0.38,This policy aims to improve teacher quality in Vocational through teacher training programs in Kerala.,Increase reach by 12% in 1 years.,This policy aims to improve teacher quality in Vocational through teacher training programs in Kerala. Goals: Increase reach by 12% in 1 years.,"national early childhood education reform 20. this policy aims to improve teacher quality in vocational through teacher training programs in kerala. goals: increase reach by 12% in 1 years.. stakeholders: central government, donors"
P1043,District Higher Education Education Reform 88,Early Childhood,Maharashtra,2024,All,Proposed,62.62,"Teachers' Unions, Community Leaders",0.161,This policy aims to improve vocational skills in Early Childhood through digital device distribution in Maharashtra.,Increase reach by 5% in 4 years.,This policy aims to improve vocational skills in Early Childhood through digital device distribution in Maharashtra. Goals: Increase reach by 5% in 4 years.,"district higher education education reform 88. this policy aims to improve vocational skills in early childhood through digital device distribution in maharashtra. goals: increase reach by 5% in 4 years.. stakeholders: teachers' unions, community leaders"
P1221,State Primary Education Reform 22,Early Childhood,West Bengal,2021,Urban Students,Proposed,0.37,"State Education Department, Private Partners",0.415,This policy aims to improve infrastructure in Early Childhood through digital device distribution in West Bengal.,Increase reach by 22% in 4 years.,This policy aims to improve infrastructure in Early Childhood through digital device distribution in West Bengal. Goals: Increase reach by 22% in 4 years.,"state primary education reform 22. this policy aims to improve infrastructure in early childhood through digital device distribution in west bengal. goals: increase reach by 22% in 4 years.. stakeholders: state education department, private partners"
P1177,State Secondary Education Reform 51,Higher Education,Delhi,2025,Urban Students,Implemented,50.08,"Central Government, Donors",0.425,This policy aims to improve early childhood development in Higher Education through teacher training programs in Delhi.,Increase reach by 39% in 2 years.,This policy aims to improve early childhood development in Higher Education through teacher training programs in Delhi. Goals: Increase reach by 39% in 2 years.,"state secondary education reform 51. this policy aims to improve early childhood development in higher education through teacher training programs in delhi. goals: increase reach by 39% in 2 years.. stakeholders: central government, donors"
P1321,National Higher Education Education Reform 12,Vocational,Kerala,2016,Women,Implemented,0.23,"State Education Department, Private Partners",0.896,This policy aims to improve teacher quality in Vocational through teacher training programs in Kerala.,Increase reach by 17% in 4 years.,This policy aims to improve teacher quality in Vocational through teacher training programs in Kerala. Goals: Increase reach by 17% in 4 years.,"national higher education education reform 12. this policy aims to improve teacher quality in vocational through teacher training programs in kerala. goals: increase reach by 17% in 4 years.. stakeholders: state education department, private partners"
P1154,District Primary Education Reform 31,Secondary,Maharashtra,2016,Women,Proposed,0.34,"Ministry of Education, Local NGOs",0.318,This policy aims to improve learning outcomes in Secondary through curriculum reform in Maharashtra.,Increase reach by 33% in 2 years.,This policy aims to improve learning outcomes in Secondary through curriculum reform in Maharashtra. Goals: Increase reach by 33% in 2 years.,"district primary education reform 31. this policy aims to improve learning outcomes in secondary through curriculum reform in maharashtra. goals: increase reach by 33% in 2 years.. stakeholders: ministry of education, local ngos"
P1232,State Vocational Education Reform 45,Early Childhood,West Bengal,2016,All,Pilot,7.44,"Ministry of Education, Local NGOs",0.811,This policy aims to improve learning outcomes in Early Childhood through digital device distribution in West Bengal.,Increase reach by 6% in 3 years.,This policy aims to improve learning outcomes in Early Childhood through digital device distribution in West Bengal. Goals: Increase reach by 6% in 3 years.,"state vocational education reform 45. this policy aims to improve learning outcomes in early childhood through digital device distribution in west bengal. goals: increase reach by 6% in 3 years.. stakeholders: ministry of education, local ngos"
P1228,District Higher Education Education Reform 10,Higher Education,West Bengal,2024,Students,Under Review,45.81,"State Education Department, Private Partners",0.752,This policy aims to improve digital access in Higher Education through public-private partnerships in West Bengal.,Increase reach by 36% in 3 years.,This policy aims to improve digital access in Higher Education through public-private partnerships in West Bengal. Goals: Increase reach by 36% in 3 years.,"district higher education education reform 10. this policy aims to improve digital access in higher education through public-private partnerships in west bengal. goals: increase reach by 36% in 3 years.. stakeholders: state education department, private partners"
P1418,National Vocational Education Reform 97,Vocational,West Bengal,2018,Disadvantaged Groups,Pilot,8.16,"Teachers' Unions, Community Leaders",0.148,This policy aims to improve teacher quality in Vocational through grants to schools in West Bengal.,Increase reach by 8% in 2 years.,This policy aims to improve teacher quality in Vocational through grants to schools in West Bengal. Goals: Increase reach by 8% in 2 years.,"national vocational education reform 97. this policy aims to improve teacher quality in vocational through grants to schools in west bengal. goals: increase reach by 8% in 2 years.. stakeholders: teachers' unions, community leaders"
P1204,National Early Childhood Education Reform 2,Higher Education,Kerala,2017,Urban Students,Pilot,63.71,"State Education Department, Private Partners",0.779,This policy aims to improve learning outcomes in Higher Education through grants to schools in Kerala.,Increase reach by 9% in 1 years.,This policy aims to improve learning outcomes in Higher Education through grants to schools in Kerala. Goals: Increase reach by 9% in 1 years.,"national early childhood education reform 2. this policy aims to improve learning outcomes in higher education through grants to schools in kerala. goals: increase reach by 9% in 1 years.. stakeholders: state education department, private partners"
P1127,State Vocational Education Reform 62,Vocational,Uttar Pradesh,2020,Women,Implemented,88.92,"Teachers' Unions, Community Leaders",0.753,This policy aims to improve teacher quality in Vocational through curriculum reform in Uttar Pradesh.,Increase reach by 13% in 3 years.,This policy aims to improve teacher quality in Vocational through curriculum reform in Uttar Pradesh. Goals: Increase reach by 13% in 3 years.,"state vocational education reform 62. this policy aims to improve teacher quality in vocational through curriculum reform in uttar pradesh. goals: increase reach by 13% in 3 years.. stakeholders: teachers' unions, community leaders"
P1330,National Higher Education Education Reform 87,Early Childhood,Uttar Pradesh,2024,Women,Implemented,48.41,"EdTech Companies, Universities",0.534,This policy aims to improve vocational skills in Early Childhood through curriculum reform in Uttar Pradesh.,Increase reach by 10% in 4 years.,This policy aims to improve vocational skills in Early Childhood through curriculum reform in Uttar Pradesh. Goals: Increase reach by 10% in 4 years.,"national higher education education reform 87. this policy aims to improve vocational skills in early childhood through curriculum reform in uttar pradesh. goals: increase reach by 10% in 4 years.. stakeholders: edtech companies, universities"
P1032,National Higher Education Education Reform 29,Secondary,Tamil Nadu,2015,Students,Implemented,0.34,"Ministry of Education, Local NGOs",0.505,This policy aims to improve vocational skills in Secondary through scholarship schemes in Tamil Nadu.,Increase reach by 17% in 4 years.,This policy aims to improve vocational skills in Secondary through scholarship schemes in Tamil Nadu. Goals: Increase reach by 17% in 4 years.,"national higher education education reform 29. this policy aims to improve vocational skills in secondary through scholarship schemes in tamil nadu. goals: increase reach by 17% in 4 years.. stakeholders: ministry of education, local ngos"
P1114,National Higher Education Education Reform 56,Vocational,Gujarat,2021,Rural Students,Implemented,0.38,"Teachers' Unions, Community Leaders",0.923,This policy aims to improve early childhood development in Vocational through digital device distribution in Gujarat.,Increase reach by 10% in 4 years.,This policy aims to improve early childhood development in Vocational through digital device distribution in Gujarat. Goals: Increase reach by 10% in 4 years.,"national higher education education reform 56. this policy aims to improve early childhood development in vocational through digital device distribution in gujarat. goals: increase reach by 10% in 4 years.. stakeholders: teachers' unions, community leaders"
P1471,State Higher Education Education Reform 18,Vocational,Punjab,2023,All,Under Review,15.65,"Ministry of Education, Local NGOs",0.763,This policy aims to improve learning outcomes in Vocational through teacher training programs in Punjab.,Increase reach by 13% in 2 years.,This policy aims to improve learning outcomes in Vocational through teacher training programs in Punjab. Goals: Increase reach by 13% in 2 years.,"state higher education education reform 18. this policy aims to improve learning outcomes in vocational through teacher training programs in punjab. goals: increase reach by 13% in 2 years.. stakeholders: ministry of education, local ngos"
P1272,State Primary Education Reform 14,Vocational,West Bengal,2015,Women,Proposed,4.06,"EdTech Companies, Universities",0.667,This policy aims to improve early childhood development in Vocational through scholarship schemes in West Bengal.,Increase reach by 18% in 4 years.,This policy aims to improve early childhood development in Vocational through scholarship schemes in West Bengal. Goals: Increase reach by 18% in 4 years.,"state primary education reform 14. this policy aims to improve early childhood development in vocational through scholarship schemes in west bengal. goals: increase reach by 18% in 4 years.. stakeholders: edtech companies, universities"
P1141,District Secondary Education Reform 7,Primary,West Bengal,2020,Disadvantaged Groups,Pilot,3.57,"State Education Department, Private Partners",0.105,This policy aims to improve early childhood development in Primary through teacher training programs in West Bengal.,Increase reach by 31% in 4 years.,This policy aims to improve early childhood development in Primary through teacher training programs in West Bengal. Goals: Increase reach by 31% in 4 years.,"district secondary education reform 7. this policy aims to improve early childhood development in primary through teacher training programs in west bengal. goals: increase reach by 31% in 4 years.. stakeholders: state education department, private partners"
P1058,District Vocational Education Reform 82,Vocational,Maharashtra,2022,Rural Students,Pilot,45.68,"Ministry of Education, Local NGOs",0.863,This policy aims to improve teacher quality in Vocational through curriculum reform in Maharashtra.,Increase reach by 36% in 3 years.,This policy aims to improve teacher quality in Vocational through curriculum reform in Maharashtra. Goals: Increase reach by 36% in 3 years.,"district vocational education reform 82. this policy aims to improve teacher quality in vocational through curriculum reform in maharashtra. goals: increase reach by 36% in 3 years.. stakeholders: ministry of education, local ngos"
P1193,District Secondary Education Reform 27,Secondary,Karnataka,2024,Rural Students,Under Review,9.85,"Teachers' Unions, Community Leaders",0.358,This policy aims to improve teacher quality in Secondary through scholarship schemes in Karnataka.,Increase reach by 11% in 2 years.,This policy aims to improve teacher quality in Secondary through scholarship schemes in Karnataka. Goals: Increase reach by 11% in 2 years.,"district secondary education reform 27. this policy aims to improve teacher quality in secondary through scholarship schemes in karnataka. goals: increase reach by 11% in 2 years.. stakeholders: teachers' unions, community leaders"
P1025,District Primary Education Reform 46,Early Childhood,West Bengal,2024,Disadvantaged Groups,Implemented,17.97,"State Education Department, Private Partners",0.884,This policy aims to improve learning outcomes in Early Childhood through teacher training programs in West Bengal.,Increase reach by 26% in 4 years.,This policy aims to improve learning outcomes in Early Childhood through teacher training programs in West Bengal. Goals: Increase reach by 26% in 4 years.,"district primary education reform 46. this policy aims to improve learning outcomes in early childhood through teacher training programs in west bengal. goals: increase reach by 26% in 4 years.. stakeholders: state education department, private partners"
P1018,National Primary Education Reform 75,Early Childhood,Karnataka,2020,Students,Proposed,0.3,"EdTech Companies, Universities",0.24,This policy aims to improve early childhood development in Early Childhood through grants to schools in Karnataka.,Increase reach by 16% in 1 years.,This policy aims to improve early childhood development in Early Childhood through grants to schools in Karnataka. Goals: Increase reach by 16% in 1 years.,"national primary education reform 75. this policy aims to improve early childhood development in early childhood through grants to schools in karnataka. goals: increase reach by 16% in 1 years.. stakeholders: edtech companies, universities"
P1266,National Primary Education Reform 18,Secondary,Kerala,2020,Urban Students,Under Review,2.18,"Teachers' Unions, Community Leaders",0.263,This policy aims to improve digital access in Secondary through curriculum reform in Kerala.,Increase reach by 34% in 3 years.,This policy aims to improve digital access in Secondary through curriculum reform in Kerala. Goals: Increase reach by 34% in 3 years.,"national primary education reform 18. this policy aims to improve digital access in secondary through curriculum reform in kerala. goals: increase reach by 34% in 3 years.. stakeholders: teachers' unions, community leaders"
P1067,District Higher Education Education Reform 30,Primary,West Bengal,2016,All,Proposed,0.17,"Teachers' Unions, Community Leaders",0.904,This policy aims to improve learning outcomes in Primary through digital device distribution in West Bengal.,Increase reach by 8% in 3 years.,This policy aims to improve learning outcomes in Primary through digital device distribution in West Bengal. Goals: Increase reach by 8% in 3 years.,"district higher education education reform 30. this policy aims to improve learning outcomes in primary through digital device distribution in west bengal. goals: increase reach by 8% in 3 years.. stakeholders: teachers' unions, community leaders"
P1209,District Primary Education Reform 34,Early Childhood,Maharashtra,2022,Urban Students,Under Review,2.75,"EdTech Companies, Universities",0.249,This policy aims to improve infrastructure in Early Childhood through digital device distribution in Maharashtra.,Increase reach by 11% in 5 years.,This policy aims to improve infrastructure in Early Childhood through digital device distribution in Maharashtra. Goals: Increase reach by 11% in 5 years.,"district primary education reform 34. this policy aims to improve infrastructure in early childhood through digital device distribution in maharashtra. goals: increase reach by 11% in 5 years.. stakeholders: edtech companies, universities"
P1480,State Secondary Education Reform 44,Secondary,Punjab,2021,Students,Implemented,0.39,"Teachers' Unions, Community Leaders",0.781,This policy aims to improve early childhood development in Secondary through scholarship schemes in Punjab.,Increase reach by 22% in 4 years.,This policy aims to improve early childhood development in Secondary through scholarship schemes in Punjab. Goals: Increase reach by 22% in 4 years.,"state secondary education reform 44. this policy aims to improve early childhood development in secondary through scholarship schemes in punjab. goals: increase reach by 22% in 4 years.. stakeholders: teachers' unions, community leaders"
P1095,District Early Childhood Education Reform 25,Higher Education,Kerala,2025,All,Implemented,6.54,"Teachers' Unions, Community Leaders",0.276,This policy aims to improve early childhood development in Higher Education through teacher training programs in Kerala.,Increase reach by 9% in 2 years.,This policy aims to improve early childhood development in Higher Education through teacher training programs in Kerala. Goals: Increase reach by 9% in 2 years.,"district early childhood education reform 25. this policy aims to improve early childhood development in higher education through teacher training programs in kerala. goals: increase reach by 9% in 2 years.. stakeholders: teachers' unions, community leaders"
P1254,State Higher Education Education Reform 75,Higher Education,Gujarat,2016,Urban Students,Proposed,2.62,"State Education Department, Private Partners",0.545,This policy aims to improve vocational skills in Higher Education through curriculum reform in Gujarat.,Increase reach by 38% in 3 years.,This policy aims to improve vocational skills in Higher Education through curriculum reform in Gujarat. Goals: Increase reach by 38% in 3 years.,"state higher education education reform 75. this policy aims to improve vocational skills in higher education through curriculum reform in gujarat. goals: increase reach by 38% in 3 years.. stakeholders: state education department, private partners"
P1267,State Vocational Education Reform 54,Secondary,Maharashtra,2017,Disadvantaged Groups,Proposed,6.56,"EdTech Companies, Universities",0.53,This policy aims to improve early childhood development in Secondary through public-private partnerships in Maharashtra.,Increase reach by 33% in 2 years.,This policy aims to improve early childhood development in Secondary through public-private partnerships in Maharashtra. Goals: Increase reach by 33% in 2 years.,"state vocational education reform 54. this policy aims to improve early childhood development in secondary through public-private partnerships in maharashtra. goals: increase reach by 33% in 2 years.. stakeholders: edtech companies, universities"
P1024,National Primary Education Reform 10,Secondary,Rajasthan,2015,All,Under Review,11.45,"Ministry of Education, Local NGOs",0.374,This policy aims to improve learning outcomes in Secondary through digital device distribution in Rajasthan.,Increase reach by 18% in 2 years.,This policy aims to improve learning outcomes in Secondary through digital device distribution in Rajasthan. Goals: Increase reach by 18% in 2 years.,"national primary education reform 10. this policy aims to improve learning outcomes in secondary through digital device distribution in rajasthan. goals: increase reach by 18% in 2 years.. stakeholders: ministry of education, local ngos"
P1223,State Secondary Education Reform 83,Early Childhood,Uttar Pradesh,2025,All,Proposed,0.41,"Teachers' Unions, Community Leaders",0.527,This policy aims to improve digital access in Early Childhood through digital device distribution in Uttar Pradesh.,Increase reach by 37% in 3 years.,This policy aims to improve digital access in Early Childhood through digital device distribution in Uttar Pradesh. Goals: Increase reach by 37% in 3 years.,"state secondary education reform 83. this policy aims to improve digital access in early childhood through digital device distribution in uttar pradesh. goals: increase reach by 37% in 3 years.. stakeholders: teachers' unions, community leaders"
P1262,State Primary Education Reform 85,Early Childhood,Delhi,2024,Women,Implemented,0.43,"Ministry of Education, Local NGOs",0.555,This policy aims to improve early childhood development in Early Childhood through grants to schools in Delhi.,Increase reach by 23% in 1 years.,This policy aims to improve early childhood development in Early Childhood through grants to schools in Delhi. Goals: Increase reach by 23% in 1 years.,"state primary education reform 85. this policy aims to improve early childhood development in early childhood through grants to schools in delhi. goals: increase reach by 23% in 1 years.. stakeholders: ministry of education, local ngos"
P1427,National Higher Education Education Reform 51,Early Childhood,Karnataka,2023,Disadvantaged Groups,Pilot,0.27,"Ministry of Education, Local NGOs",0.581,This policy aims to improve learning outcomes in Early Childhood through curriculum reform in Karnataka.,Increase reach by 35% in 1 years.,This policy aims to improve learning outcomes in Early Childhood through curriculum reform in Karnataka. Goals: Increase reach by 35% in 1 years.,"national higher education education reform 51. this policy aims to improve learning outcomes in early childhood through curriculum reform in karnataka. goals: increase reach by 35% in 1 years.. stakeholders: ministry of education, local ngos"
P1006,District Higher Education Education Reform 99,Primary,Uttar Pradesh,2015,All,Under Review,0.21,"State Education Department, Private Partners",0.913,This policy aims to improve early childhood development in Primary through public-private partnerships in Uttar Pradesh.,Increase reach by 25% in 2 years.,This policy aims to improve early childhood development in Primary through public-private partnerships in Uttar Pradesh. Goals: Increase reach by 25% in 2 years.,"district higher education education reform 99. this policy aims to improve early childhood development in primary through public-private partnerships in uttar pradesh. goals: increase reach by 25% in 2 years.. stakeholders: state education department, private partners"
P1117,District Secondary Education Reform 4,Secondary,Punjab,2025,All,Pilot,1.07,"State Education Department, Private Partners",0.793,This policy aims to improve teacher quality in Secondary through digital device distribution in Punjab.,Increase reach by 29% in 5 years.,This policy aims to improve teacher quality in Secondary through digital device distribution in Punjab. Goals: Increase reach by 29% in 5 years.,"district secondary education reform 4. this policy aims to improve teacher quality in secondary through digital device distribution in punjab. goals: increase reach by 29% in 5 years.. stakeholders: state education department, private partners"
P1046,State Early Childhood Education Reform 90,Higher Education,Rajasthan,2015,Women,Implemented,1.59,"Central Government, Donors",0.535,This policy aims to improve infrastructure in Higher Education through public-private partnerships in Rajasthan.,Increase reach by 35% in 4 years.,This policy aims to improve infrastructure in Higher Education through public-private partnerships in Rajasthan. Goals: Increase reach by 35% in 4 years.,"state early childhood education reform 90. this policy aims to improve infrastructure in higher education through public-private partnerships in rajasthan. goals: increase reach by 35% in 4 years.. stakeholders: central government, donors"
P1017,National Secondary Education Reform 49,Primary,West Bengal,2019,All,Pilot,53.84,"EdTech Companies, Universities",0.689,This policy aims to improve digital access in Primary through teacher training programs in West Bengal.,Increase reach by 17% in 3 years.,This policy aims to improve digital access in Primary through teacher training programs in West Bengal. Goals: Increase reach by 17% in 3 years.,"national secondary education reform 49. this policy aims to improve digital access in primary through teacher training programs in west bengal. goals: increase reach by 17% in 3 years.. stakeholders: edtech companies, universities"
P1463,District Early Childhood Education Reform 12,Secondary,Uttar Pradesh,2019,Urban Students,Under Review,4.7,"EdTech Companies, Universities",0.773,This policy aims to improve learning outcomes in Secondary through grants to schools in Uttar Pradesh.,Increase reach by 31% in 3 years.,This policy aims to improve learning outcomes in Secondary through grants to schools in Uttar Pradesh. Goals: Increase reach by 31% in 3 years.,"district early childhood education reform 12. this policy aims to improve learning outcomes in secondary through grants to schools in uttar pradesh. goals: increase reach by 31% in 3 years.. stakeholders: edtech companies, universities"
P1358,District Early Childhood Education Reform 74,Secondary,Maharashtra,2015,Urban Students,Under Review,7.08,"Teachers' Unions, Community Leaders",0.892,This policy aims to improve infrastructure in Secondary through teacher training programs in Maharashtra.,Increase reach by 21% in 3 years.,This policy aims to improve infrastructure in Secondary through teacher training programs in Maharashtra. Goals: Increase reach by 21% in 3 years.,"district early childhood education reform 74. this policy aims to improve infrastructure in secondary through teacher training programs in maharashtra. goals: increase reach by 21% in 3 years.. stakeholders: teachers' unions, community leaders"
