policy_id,title,sector,region,year,target_group,status,funding_million_usd,stakeholders,impact_score,summary,goals,full_text
P1027,State Higher Education Education Reform 36,Primary,Delhi,2020,Disadvantaged Groups,Pilot,95.14,"Ministry of Education, Local NGOs",0.881,This policy aims to improve teacher quality in Primary through teacher training programs in Delhi.,Increase reach by 21% in 1 years.,This policy aims to improve teacher quality in Primary through teacher training programs in Delhi. Goals: Increase reach by 21% in 1 years.
P1028,National Early Childhood Education Reform 56,Higher Education,Kerala,2021,Women,Proposed,0.46,"State Education Department, Private Partners",0.327,This policy aims to improve vocational skills in Higher Education through curriculum reform in Kerala.,Increase reach by 5% in 5 years.,This policy aims to improve vocational skills in Higher Education through curriculum reform in Kerala. Goals: Increase reach by 5% in 5 years.
P1029,District Secondary Education Reform 47,Vocational,Maharashtra,2025,Rural Students,Under Review,3.74,"Teachers' Unions, Community Leaders",0.551,This policy aims to improve vocational skills in Vocational through curriculum reform in Maharashtra.,Increase reach by 25% in 4 years.,This policy aims to improve vocational skills in Vocational through curriculum reform in Maharashtra. Goals: Increase reach by 25% in 4 years.
P1030,District Higher Education Education Reform 71,Secondary,Uttar Pradesh,2021,Disadvantaged Groups,Pilot,14.23,"Teachers' Unions, Community Leaders",0.461,This policy aims to improve learning outcomes in Secondary through digital device distribution in Uttar Pradesh.,Increase reach by 23% in 2 years.,This policy aims to improve learning outcomes in Secondary through digital device distribution in Uttar Pradesh. Goals: Increase reach by 23% in 2 years.
P1031,State Early Childhood Education Reform 78,Higher Education,Gujarat,2022,Urban Students,Implemented,0.42,"State Education Department, Private Partners",0.686,This policy aims to improve teacher quality in Higher Education through scholarship schemes in Gujarat.,Increase reach by 26% in 1 years.,This policy aims to improve teacher quality in Higher Education through scholarship schemes in Gujarat. Goals: Increase reach by 26% in 1 years.
P1032,National Higher Education Education Reform 29,Secondary,Tamil Nadu,2015,Students,Implemented,0.34,"Ministry of Education, Local NGOs",0.505,This policy aims to improve vocational skills in Secondary through scholarship schemes in Tamil Nadu.,Increase reach by 17% in 4 years.,This policy aims to improve vocational skills in Secondary through scholarship schemes in Tamil Nadu. Goals: Increase reach by 17% in 4 years.
P1033,State Vocational Education Reform 32,Secondary,Karnataka,2016,All,Pilot,7.64,"EdTech Companies, Universities",0.513,This policy aims to improve early childhood development in Secondary through teacher training programs in Karnataka.,Increase reach by 12% in 4 years.,This policy aims to improve early childhood development in Secondary through teacher training programs in Karnataka. Goals: Increase reach by 12% in 4 years.
P1034,National Vocational Education Reform 86,Early Childhood,Rajasthan,2024,Rural Students,Pilot,0.43,"EdTech Companies, Universities",0.497,This policy aims to improve infrastructure in Early Childhood through public-private partnerships in Rajasthan.,Increase reach by 35% in 4 years.,This policy aims to improve infrastructure in Early Childhood through public-private partnerships in Rajasthan. Goals: Increase reach by 35% in 4 years.
P1035,State Secondary Education Reform 82,Higher Education,Rajasthan,2022,Disadvantaged Groups,Implemented,55.19,"Teachers' Unions, Community Leaders",0.309,This policy aims to improve teacher quality in Higher Education through digital device distribution in Rajasthan.,Increase reach by 39% in 1 years.,This policy aims to improve teacher quality in Higher Education through digital device distribution in Rajasthan. Goals: Increase reach by 39% in 1 years.
P1036,National Secondary Education Reform 30,Vocational,Tamil Nadu,2018,Students,Pilot,0.23,"Central Government, Donors",0.47,This policy aims to improve infrastructure in Vocational through curriculum reform in Tamil Nadu.,Increase reach by 29% in 5 years.,This policy aims to improve infrastructure in Vocational through curriculum reform in Tamil Nadu. Goals: Increase reach by 29% in 5 years.
P1037,District Primary Education Reform 98,Early Childhood,West Bengal,2022,Students,Under Review,80.28,"Central Government, Donors",0.579,This policy aims to improve vocational skills in Early Childhood through scholarship schemes in West Bengal.,Increase reach by 19% in 4 years.,This policy aims to improve vocational skills in Early Childhood through scholarship schemes in West Bengal. Goals: Increase reach by 19% in 4 years.
P1038,National Higher Education Education Reform 56,Vocational,Karnataka,2021,Rural Students,Pilot,17.61,"State Education Department, Private Partners",0.973,This policy aims to improve early childhood development in Vocational through grants to schools in Karnataka.,Increase reach by 30% in 5 years.,This policy aims to improve early childhood development in Vocational through grants to schools in Karnataka. Goals: Increase reach by 30% in 5 years.
P1039,District Primary Education Reform 11,Vocational,Tamil Nadu,2022,Teachers,Proposed,50.33,"State Education Department, Private Partners",0.505,This policy aims to improve teacher quality in Vocational through curriculum reform in Tamil Nadu.,Increase reach by 22% in 4 years.,This policy aims to improve teacher quality in Vocational through curriculum reform in Tamil Nadu. Goals: Increase reach by 22% in 4 years.
P1040,State Primary Education Reform 61,Primary,Rajasthan,2015,Rural Students,Implemented,4.02,"Ministry of Education, Local NGOs",0.771,This policy aims to improve infrastructure in Primary through teacher training programs in Rajasthan.,Increase reach by 6% in 5 years.,This policy aims to improve infrastructure in Primary through teacher training programs in Rajasthan. Goals: Increase reach by 6% in 5 years.
P1041,National Secondary Education Reform 17,Vocational,Maharashtra,2024,Teachers,Pilot,81.35,"State Education Department, Private Partners",0.639,This policy aims to improve vocational skills in Vocational through public-private partnerships in Maharashtra.,Increase reach by 12% in 2 years.,This policy aims to improve vocational skills in Vocational through public-private partnerships in Maharashtra. Goals: Increase reach by 12% in 2 years.
P1042,State Primary Education Reform 75,Primary,Delhi,2024,Disadvantaged Groups,Pilot,0.48,"State Education Department, Private Partners",0.168,This policy aims to improve vocational skills in Primary through public-private partnerships in Delhi.,Increase reach by 20% in 1 years.,This policy aims to improve vocational skills in Primary through public-private partnerships in Delhi. Goals: Increase reach by 20% in 1 years.
P1043,District Higher Education Education Reform 88,Early Childhood,Maharashtra,2024,All,Proposed,62.62,"Teachers' Unions, Community Leaders",0.161,This policy aims to improve vocational skills in Early Childhood through digital device distribution in Maharashtra.,Increase reach by 5% in 4 years.,This policy aims to improve vocational skills in Early Childhood through digital device distribution in Maharashtra. Goals: Increase reach by 5% in 4 years.
P1044,State Primary Education Reform 56,Higher Education,Gujarat,2017,Urban Students,Implemented,69.27,"EdTech Companies, Universities",0.789,This policy aims to improve digital access in Higher Education through curriculum reform in Gujarat.,Increase reach by 22% in 3 years.,This policy aims to improve digital access in Higher Education through curriculum reform in Gujarat. Goals: Increase reach by 22% in 3 years.
P1045,National Primary Education Reform 36,Vocational,Uttar Pradesh,2022,Women,Pilot,22.3,"Teachers' Unions, Community Leaders",0.262,This policy aims to improve infrastructure in Vocational through digital device distribution in Uttar Pradesh.,Increase reach by 21% in 3 years.,This policy aims to improve infrastructure in Vocational through digital device distribution in Uttar Pradesh. Goals: Increase reach by 21% in 3 years.
P1046,State Early Childhood Education Reform 90,Higher Education,Rajasthan,2015,Women,Implemented,1.59,"Central Government, Donors",0.535,This policy aims to improve infrastructure in Higher Education through public-private partnerships in Rajasthan.,Increase reach by 35% in 4 years.,This policy aims to improve infrastructure in Higher Education through public-private partnerships in Rajasthan. Goals: Increase reach by 35% in 4 years.
P1047,State Primary Education Reform 12,Higher Education,Uttar Pradesh,2021,Disadvantaged Groups,Implemented,73.12,"Teachers' Unions, Community Leaders",0.521,This policy aims to improve early childhood development in Higher Education through digital device distribution in Uttar Pradesh.,Increase reach by 32% in 5 years.,This policy aims to improve early childhood development in Higher Education through digital device distribution in Uttar Pradesh. Goals: Increase reach by 32% in 5 years.
P1048,State Higher Education Education Reform 90,Vocational,Delhi,2019,Rural Students,Implemented,3.75,"Teachers' Unions, Community Leaders",0.206,This policy aims to improve early childhood development in Vocational through public-private partnerships in Delhi.,Increase reach by 16% in 2 years.,This policy aims to improve early childhood development in Vocational through public-private partnerships in Delhi. Goals: Increase reach by 16% in 2 years.
P1049,National Vocational Education Reform 36,Early Childhood,Rajasthan,2024,Rural Students,Proposed,9.44,"Teachers' Unions, Community Leaders",0.26,This policy aims to improve learning outcomes in Early Childhood through public-private partnerships in Rajasthan.,Increase reach by 39% in 2 years.,This policy aims to improve learning outcomes in Early Childhood through public-private partnerships in Rajasthan. Goals: Increase reach by 39% in 2 years.
P1050,State Primary Education Reform 7,Early Childhood,Delhi,2017,Disadvantaged Groups,Pilot,4.43,"EdTech Companies, Universities",0.353,This policy aims to improve digital access in Early Childhood through curriculum reform in Delhi.,Increase reach by 26% in 2 years.,This policy aims to improve digital access in Early Childhood through curriculum reform in Delhi. Goals: Increase reach by 26% in 2 years.
P1051,National Higher Education Education Reform 62,Primary,Maharashtra,2021,Urban Students,Proposed,1.18,"EdTech Companies, Universities",0.945,This policy aims to improve learning outcomes in Primary through teacher training programs in Maharashtra.,Increase reach by 12% in 5 years.,This policy aims to improve learning outcomes in Primary through teacher training programs in Maharashtra. Goals: Increase reach by 12% in 5 years.
P1052,State Early Childhood Education Reform 77,Early Childhood,Uttar Pradesh,2023,Urban Students,Pilot,0.22,"EdTech Companies, Universities",0.981,This policy aims to improve teacher quality in Early Childhood through scholarship schemes in Uttar Pradesh.,Increase reach by 8% in 5 years.,This policy aims to improve teacher quality in Early Childhood through scholarship schemes in Uttar Pradesh. Goals: Increase reach by 8% in 5 years.
P1053,District Primary Education Reform 98,Secondary,Uttar Pradesh,2019,Disadvantaged Groups,Proposed,8.6,"EdTech Companies, Universities",0.167,This policy aims to improve learning outcomes in Secondary through curriculum reform in Uttar Pradesh.,Increase reach by 33% in 5 years.,This policy aims to improve learning outcomes in Secondary through curriculum reform in Uttar Pradesh. Goals: Increase reach by 33% in 5 years.
P1054,State Higher Education Education Reform 5,Secondary,Delhi,2019,Disadvantaged Groups,Pilot,3.59,"Teachers' Unions, Community Leaders",0.801,This policy aims to improve vocational skills in Secondary through scholarship schemes in Delhi.,Increase reach by 17% in 4 years.,This policy aims to improve vocational skills in Secondary through scholarship schemes in Delhi. Goals: Increase reach by 17% in 4 years.
P1055,National Early Childhood Education Reform 29,Secondary,Delhi,2017,Students,Proposed,16.89,"EdTech Companies, Universities",0.767,This policy aims to improve early childhood development in Secondary through digital device distribution in Delhi.,Increase reach by 33% in 1 years.,This policy aims to improve early childhood development in Secondary through digital device distribution in Delhi. Goals: Increase reach by 33% in 1 years.
P1056,State Higher Education Education Reform 90,Vocational,Delhi,2023,Women,Pilot,0.13,"Ministry of Education, Local NGOs",0.892,This policy aims to improve vocational skills in Vocational through digital device distribution in Delhi.,Increase reach by 21% in 1 years.,This policy aims to improve vocational skills in Vocational through digital device distribution in Delhi. Goals: Increase reach by 21% in 1 years.
P1057,National Secondary Education Reform 87,Early Childhood,Punjab,2015,All,Under Review,3.93,"State Education Department, Private Partners",0.519,This policy aims to improve vocational skills in Early Childhood through curriculum reform in Punjab.,Increase reach by 22% in 2 years.,This policy aims to improve vocational skills in Early Childhood through curriculum reform in Punjab. Goals: Increase reach by 22% in 2 years.
P1058,District Vocational Education Reform 82,Vocational,Maharashtra,2022,Rural Students,Pilot,45.68,"Ministry of Education, Local NGOs",0.863,This policy aims to improve teacher quality in Vocational through curriculum reform in Maharashtra.,Increase reach by 36% in 3 years.,This policy aims to improve teacher quality in Vocational through curriculum reform in Maharashtra. Goals: Increase reach by 36% in 3 years.
P1059,District Vocational Education Reform 98,Early Childhood,Karnataka,2022,Students,Under Review,45.86,"Central Government, Donors",0.87,This policy aims to improve learning outcomes in Early Childhood through public-private partnerships in Karnataka.,Increase reach by 39% in 4 years.,This policy aims to improve learning outcomes in Early Childhood through public-private partnerships in Karnataka. Goals: Increase reach by 39% in 4 years.
P1060,State Primary Education Reform 25,Early Childhood,Kerala,2024,All,Pilot,0.4,"State Education Department, Private Partners",0.338,This policy aims to improve infrastructure in Early Childhood through digital device distribution in Kerala.,Increase reach by 33% in 4 years.,This policy aims to improve infrastructure in Early Childhood through digital device distribution in Kerala. Goals: Increase reach by 33% in 4 years.
P1061,National Primary Education Reform 81,Early Childhood,Uttar Pradesh,2017,Rural Students,Proposed,0.14,"Ministry of Education, Local NGOs",0.511,This policy aims to improve learning outcomes in Early Childhood through public-private partnerships in Uttar Pradesh.,Increase reach by 14% in 4 years.,This policy aims to improve learning outcomes in Early Childhood through public-private partnerships in Uttar Pradesh. Goals: Increase reach by 14% in 4 years.
P1062,District Higher Education Education Reform 66,Higher Education,West Bengal,2022,Urban Students,Implemented,0.32,"Central Government, Donors",0.27,This policy aims to improve early childhood development in Higher Education through scholarship schemes in West Bengal.,Increase reach by 13% in 1 years.,This policy aims to improve early childhood development in Higher Education through scholarship schemes in West Bengal. Goals: Increase reach by 13% in 1 years.
P1063,State Vocational Education Reform 44,Early Childhood,Delhi,2015,Rural Students,Under Review,0.45,"Central Government, Donors",0.579,This policy aims to improve teacher quality in Early Childhood through digital device distribution in Delhi.,Increase reach by 40% in 5 years.,This policy aims to improve teacher quality in Early Childhood through digital device distribution in Delhi. Goals: Increase reach by 40% in 5 years.
P1064,State Vocational Education Reform 42,Secondary,Uttar Pradesh,2024,Urban Students,Implemented,0.12,"Central Government, Donors",0.728,This policy aims to improve digital access in Secondary through curriculum reform in Uttar Pradesh.,Increase reach by 14% in 4 years.,This policy aims to improve digital access in Secondary through curriculum reform in Uttar Pradesh. Goals: Increase reach by 14% in 4 years.
P1065,National Secondary Education Reform 65,Early Childhood,Kerala,2016,All,Pilot,2.87,"Central Government, Donors",0.114,This policy aims to improve infrastructure in Early Childhood through curriculum reform in Kerala.,Increase reach by 14% in 1 years.,This policy aims to improve infrastructure in Early Childhood through curriculum reform in Kerala. Goals: Increase reach by 14% in 1 years.
P1066,State Higher Education Education Reform 44,Early Childhood,West Bengal,2025,Students,Under Review,0.48,"Central Government, Donors",0.876,This policy aims to improve learning outcomes in Early Childhood through scholarship schemes in West Bengal.,Increase reach by 9% in 2 years.,This policy aims to improve learning outcomes in Early Childhood through scholarship schemes in West Bengal. Goals: Increase reach by 9% in 2 years.
P1067,District Higher Education Education Reform 30,Primary,West Bengal,2016,All,Proposed,0.17,"Teachers' Unions, Community Leaders",0.904,This policy aims to improve learning outcomes in Primary through digital device distribution in West Bengal.,Increase reach by 8% in 3 years.,This policy aims to improve learning outcomes in Primary through digital device distribution in West Bengal. Goals: Increase reach by 8% in 3 years.
P1068,State Higher Education Education Reform 56,Secondary,Uttar Pradesh,2023,Urban Students,Implemented,7.63,"EdTech Companies, Universities",0.875,This policy aims to improve early childhood development in Secondary through public-private partnerships in Uttar Pradesh.,Increase reach by 20% in 4 years.,This policy aims to improve early childhood development in Secondary through public-private partnerships in Uttar Pradesh. Goals: Increase reach by 20% in 4 years.
P1069,District Secondary Education Reform 30,Vocational,Delhi,2022,Rural Students,Proposed,0.46,"EdTech Companies, Universities",0.241,This policy aims to improve digital access in Vocational through digital device distribution in Delhi.,Increase reach by 24% in 4 years.,This policy aims to improve digital access in Vocational through digital device distribution in Delhi. Goals: Increase reach by 24% in 4 years.
P1070,District Higher Education Education Reform 59,Higher Education,Uttar Pradesh,2021,All,Pilot,1.57,"EdTech Companies, Universities",0.419,This policy aims to improve teacher quality in Higher Education through public-private partnerships in Uttar Pradesh.,Increase reach by 23% in 1 years.,This policy aims to improve teacher quality in Higher Education through public-private partnerships in Uttar Pradesh. Goals: Increase reach by 23% in 1 years.
P1071,District Vocational Education Reform 36,Primary,Punjab,2025,All,Proposed,0.43,"Teachers' Unions, Community Leaders",0.79,This policy aims to improve infrastructure in Primary through scholarship schemes in Punjab.,Increase reach by 27% in 2 years.,This policy aims to improve infrastructure in Primary through scholarship schemes in Punjab. Goals: Increase reach by 27% in 2 years.
P1072,District Secondary Education Reform 80,Higher Education,Tamil Nadu,2025,Students,Proposed,83.09,"Ministry of Education, Local NGOs",0.616,This policy aims to improve vocational skills in Higher Education through teacher training programs in Tamil Nadu.,Increase reach by 10% in 3 years.,This policy aims to improve vocational skills in Higher Education through teacher training programs in Tamil Nadu. Goals: Increase reach by 10% in 3 years.
P1073,State Vocational Education Reform 23,Secondary,Tamil Nadu,2023,Rural Students,Under Review,8.85,"Central Government, Donors",0.961,This policy aims to improve teacher quality in Secondary through public-private partnerships in Tamil Nadu.,Increase reach by 26% in 1 years.,This policy aims to improve teacher quality in Secondary through public-private partnerships in Tamil Nadu. Goals: Increase reach by 26% in 1 years.
P1074,State Primary Education Reform 19,Secondary,West Bengal,2023,Rural Students,Proposed,0.11,"EdTech Companies, Universities",0.21,This policy aims to improve teacher quality in Secondary through public-private partnerships in West Bengal.,Increase reach by 21% in 5 years.,This policy aims to improve teacher quality in Secondary through public-private partnerships in West Bengal. Goals: Increase reach by 21% in 5 years.
P1075,State Higher Education Education Reform 14,Secondary,Gujarat,2015,Women,Under Review,14.71,"Central Government, Donors",0.909,This policy aims to improve teacher quality in Secondary through public-private partnerships in Gujarat.,Increase reach by 31% in 1 years.,This policy aims to improve teacher quality in Secondary through public-private partnerships in Gujarat. Goals: Increase reach by 31% in 1 years.
P1076,National Primary Education Reform 5,Higher Education,Gujarat,2016,Students,Implemented,10.83,"Teachers' Unions, Community Leaders",0.697,This policy aims to improve vocational skills in Higher Education through public-private partnerships in Gujarat.,Increase reach by 39% in 4 years.,This policy aims to improve vocational skills in Higher Education through public-private partnerships in Gujarat. Goals: Increase reach by 39% in 4 years.
P1077,District Secondary Education Reform 54,Primary,Gujarat,2024,Urban Students,Under Review,3.61,"State Education Department, Private Partners",0.495,This policy aims to improve infrastructure in Primary through digital device distribution in Gujarat.,Increase reach by 11% in 3 years.,This policy aims to improve infrastructure in Primary through digital device distribution in Gujarat. Goals: Increase reach by 11% in 3 years.
P1078,District Higher Education Education Reform 8,Vocational,Delhi,2018,Students,Pilot,3.48,"EdTech Companies, Universities",0.964,This policy aims to improve learning outcomes in Vocational through digital device distribution in Delhi.,Increase reach by 20% in 2 years.,This policy aims to improve learning outcomes in Vocational through digital device distribution in Delhi. Goals: Increase reach by 20% in 2 years.
P1079,District Secondary Education Reform 9,Early Childhood,Uttar Pradesh,2024,Teachers,Implemented,81.95,"EdTech Companies, Universities",0.103,This policy aims to improve infrastructure in Early Childhood through teacher training programs in Uttar Pradesh.,Increase reach by 39% in 3 years.,This policy aims to improve infrastructure in Early Childhood through teacher training programs in Uttar Pradesh. Goals: Increase reach by 39% in 3 years.
P1080,National Primary Education Reform 85,Primary,Tamil Nadu,2015,Rural Students,Implemented,21.26,"Teachers' Unions, Community Leaders",0.147,This policy aims to improve vocational skills in Primary through curriculum reform in Tamil Nadu.,Increase reach by 38% in 1 years.,This policy aims to improve vocational skills in Primary through curriculum reform in Tamil Nadu. Goals: Increase reach by 38% in 1 years.
P1081,District Primary Education Reform 61,Vocational,Kerala,2023,Women,Proposed,0.3,"EdTech Companies, Universities",0.139,This policy aims to improve vocational skills in Vocational through scholarship schemes in Kerala.,Increase reach by 24% in 4 years.,This policy aims to improve vocational skills in Vocational through scholarship schemes in Kerala. Goals: Increase reach by 24% in 4 years.
P1082,District Primary Education Reform 8,Vocational,West Bengal,2021,Disadvantaged Groups,Proposed,0.38,"Central Government, Donors",0.165,This policy aims to improve learning outcomes in Vocational through digital device distribution in West Bengal.,Increase reach by 14% in 1 years.,This policy aims to improve learning outcomes in Vocational through digital device distribution in West Bengal. Goals: Increase reach by 14% in 1 years.
